zip_code,population
63101,4171
63102,2508
63103,9411
63104,19317
63105,18846
63106,9113
63107,8829
63108,23603
63109,26777
63110,18199
63111,19538
63112,18954
63113,10882
63115,16056
63116,41959
63117,9660
63118,25194
63119,34793
63120,7213
63123,50989
63125,32816
63130,29454
63133,6444
63136,41767
63137,18765
63138,18852
63139,21971
63143,9686
63147,8499
