zip_code,wt_avg_L
63116,4.4
63118,7.1
63109,7.0
63139,5.8
63110,8.6
63111,7.2
63137,4.8
63112,9.1
63115,6.9
63104,4.9
63108,9.1
63113,6.8
63103,9.2
63143,8.4
63147,5.6
63107,7.4
63106,7.7
63120,5.7
63196,nan
63102,8.4
63101,9.2
63180,9.4
63190,nan
63182,nan
63150,9.2
63155,9.4
63157,6.9
63156,8.8
63160,8.4
63158,8.2
63164,9.0
63163,8.6
63166,9.4
63169,9.0
63178,9.4
63177,9.4
63179,8.8
63188,9.0
63197,9.0
63199,9.2
