very_good	good	average	bad	very_bad
63101	63102	63111	63105	63120
63109	63103	63112	63106	63138
63110	63104	63115	63133	00000
63118	63107	63123	63137	00000
63143	63108	63125	63147	00000
00000	63113	63130	00000	00000
00000	63116	63136	00000	00000
00000	63117	00000	00000	00000
00000	63119	00000	00000	00000
00000	63139	00000	00000	00000
