zip_code,population,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Some Other Race,White
63005,0.01790564882028444,0.0014556797504549,0.14312451260722642,0.016064465817520145,0.032180920197556535,0.000363919937613725,0.006602547439563296,0.7767611125552378
63011,0.034903680921058756,0.0015468729163888519,0.08019735964795306,0.026670222696359516,0.03352446992932391,0.00013335111348179759,0.008347779703960528,0.8238431790905454
63017,0.03981691276267359,0.001730063357725668,0.1267388305706871,0.031842517475977834,0.04505178500455895,0.0004442054567133472,0.01108175718326982,0.7656699319664274
63021,0.05276278529418883,0.0019054340155257588,0.08629146083274523,0.029622441778405083,0.03673253352152435,0.0003352152434721242,0.013426252646436133,0.8035815102328864
63025,0.015584942685167774,0.001314060446780552,0.01505196511766814,0.006928682355752001,0.030223390275952694,0.0003583801218492414,0.007048142396368415,0.9114203798829291
63026,0.0415623295309623,0.002934061996058054,0.02517469987457445,0.012184196380576957,0.03231947679627307,0.0002911664576240817,0.010817953771725498,0.8834886221107329
63031,0.044318691691443826,0.0020584343296435547,0.013064756663656031,0.41065764876388916,0.0313596168791615,0.00048310193450818123,0.017139616459072863,0.49347812388413953
63033,0.04019113011779469,0.002061378112333526,0.005628257093225246,0.7184250144759698,0.01994209612044007,0.00027793862188766645,0.011812391430225826,0.2197568037058483
63034,0.017154421443212983,0.0016279574560451487,0.01649663555459084,0.6834708052962882,0.015682656826568265,0.00032559149120902974,0.01112437594964185,0.24831777729542
63038,0.006306772589416538,0.0026568265682656825,0.03911439114391144,0.017121771217712176,0.03261992619926199,0.0,0.008413284132841328,0.8677490774907749
63040,0.008244883368924321,0.0011290504685559444,0.05848481427119792,0.014790561138082872,0.030032742463588124,0.0,0.007225922998758044,0.8654171841481314
63042,0.018288244175893326,0.0031558586989718007,0.014608571719433982,0.45413824697139366,0.04596355492212155,0.00035630662730326784,0.028759034918049476,0.431538226611015
63043,0.020816538545318466,0.003398622663446919,0.14059565334048832,0.1360790626956444,0.044182094624809945,0.0006707807888382077,0.023432608890081388,0.6297737232805652
63044,0.00985532124046537,0.004344951355435912,0.03239822423727213,0.2186643997355247,0.07726456975536035,0.00028336639274582036,0.04288278076886748,0.6278454708604893
63049,0.0157590189175251,0.003189792663476874,0.012877311122925159,0.008447043534762833,0.028176501860712386,5.9070234508831e-05,0.010750782680607243,0.9022387618878847
63069,0.014467875953463,0.0034744563119289665,0.007270621541629134,0.05070132544074122,0.028696435465191097,0.0003217089177712006,0.011710204606871702,0.8618581907090465
63074,0.014180231270049021,0.008074574935994222,0.02658701503315171,0.3163526554191558,0.0803518676557474,0.0005251756055931202,0.04995732948204556,0.5187422044246045
