good	average	bad
63101	63102	63120
63109	63103	63138
63110	63104	00000
63118	63105	00000
63143	63106	00000
00000	63107	00000
00000	63108	00000
00000	63111	00000
00000	63112	00000
00000	63113	00000
00000	63115	00000
00000	63116	00000
00000	63117	00000
00000	63119	00000
00000	63123	00000
00000	63125	00000
00000	63130	00000
00000	63133	00000
00000	63136	00000
00000	63137	00000
00000	63139	00000
00000	63147	00000
