zip_code,wt_avg_L
63101,9.2
63102,8.4
63103,9.2
63104,4.9
63105,8.6
63106,7.7
63107,7.4
63108,9.1
63109,7.0
63110,8.6
63111,7.2
63112,9.1
63113,6.8
63115,6.9
63116,4.4
63117,7.9
63118,7.1
63119,2.8
63120,5.7
63123,3.9
63125,5.8
63130,9.0
63133,6.2
63136,4.9
63137,4.8
63138,5.1
63139,5.8
63143,8.4
63147,5.6
